#,ESTABLECIMIENTO,TIPO,CALLE,NUMERO,DEPTO,PARTIDO,PROVINCIA,GMAPS,PROFESIONAL,SERVICIO,AREA,HORARIOS,TELEFONO,EMAIL,WEB,COMENTARIOS,
194,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,Cecilia Calvar,Endocrinología / Hormonización,Endocrinología,Turnos web. Martes 8.30 a 11.30 hs.,011 4808 2600 int. 1107,consultavirtualdiversidad@gmail.com,https://consultoriodiversidad.drapp.com.ar/medico/atencion-medica-presencial?cobertura=paciente-del-hospital-fernandez,Hormonizacion para hombres y mujeres trans,
195,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,Beatriz Di Biasi,Consumo problemático de drogas/alcohol,Toxicología,Turnos Lunes de 14 a 16 hs,011 4808 2600 int. 1059,,,"drogas experimentales, ex consumidores y consumidores problematicos",
196,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,Cecilia Calvar,Fonoaudiología,Endocrinología,Segundo y cuarto martes de cada mes 12 hs en Aula 10,011 4808 2600 int. 1107,,,,
197,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,"Grupo Trans Vivir, Promotora Ángeles Rojas",Grupos de pares,Toxicología,Lunes de 14 a 16 hs,011 4808 2600 int. 1059,,,,
228,Hospital Jose María Ramos Mejía,Público,General Urquiza,609,,Balvanera,CABA,https://goo.gl/maps/npMgdKi7xfE2,Patricia San Martín,Endocrinología / Hormonización,Endocrinologia (Pabellón de Clinicas 2 piso),Lunes y miércoles y Viernes de 9 a 12 hs.,011 4931 1884,,http://www.hospitalramosmejia.com.ar/,,
229,Hospital Jose María Ramos Mejía,Público,General Urquiza,609,,Balvanera,CABA,https://goo.gl/maps/npMgdKi7xfE2,Grupo Trans Vivir,Grupos de pares,,Miercoles 14 a 17 hs.,011 4931 1884,,http://www.hospitalramosmejia.com.ar/,,
230,Hospital Jose María Ramos Mejía,Público,General Urquiza,609,,Balvanera,CABA,https://goo.gl/maps/npMgdKi7xfE2,Dra. Di Tulio,Ginecología,,,011 4931 1884,,http://www.hospitalramosmejia.com.ar/,,
179,Hospital de Infecciosas Francisco Javier Muñiz,Público,Uspallata,2272,,Parque Patricios,CABA,https://goo.gl/maps/PRkVAPoDpW92,"Perla Cativa, Maria Laura Malbran",Psicología / Psiquiatría,,,011 4304 2180,,http://www.buenosaires.gob.ar/hospitalmuniz,,
187,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Atención médica general,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,,
188,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Cirugías de afirmación de género,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,Cirugía genital y masculinización de tórax,
